"filename", "language", "TypeScript", "TypeScript React", "JSON", "JSON with Comments", "CSS", "JavaScript", "Markdown", "HTML", "comment", "blank", "total"
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/monitor/src/routes/status.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/monitor/src/utils/url.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/monitor/tsconfig.json", "JSON with Comments", 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/website/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 40, 0, 0, 20, 60
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/website/package.json", "JSON", 0, 0, 54, 0, 0, 0, 0, 0, 0, 1, 55
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/website/public/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 18, 25, 1, 44
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/website/public/manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/website/src/Components/ColorModeSwitcher.tsx", "TypeScript React", 0, 27, 0, 0, 0, 0, 0, 0, 0, 4, 31
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/website/src/Components/Loading.tsx", "TypeScript React", 0, 23, 0, 0, 0, 0, 0, 0, 0, 3, 26
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/website/src/Components/ModalComp.tsx", "TypeScript React", 0, 42, 0, 0, 0, 0, 0, 0, 0, 4, 46
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/website/src/Components/Nav.tsx", "TypeScript React", 0, 251, 0, 0, 0, 0, 0, 0, 12, 12, 275
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/website/src/Components/ProjectCard.tsx", "TypeScript React", 0, 93, 0, 0, 0, 0, 0, 0, 0, 5, 98
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/website/src/Components/Stat.tsx", "TypeScript React", 0, 17, 0, 0, 0, 0, 0, 0, 0, 4, 21
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/website/src/Pages/App.tsx", "TypeScript React", 0, 36, 0, 0, 0, 0, 0, 0, 0, 9, 45
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/website/src/Pages/Home.tsx", "TypeScript React", 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/website/src/Pages/Login.tsx", "TypeScript React", 0, 140, 0, 0, 0, 0, 0, 0, 0, 6, 146
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/website/src/Pages/Monitor.tsx", "TypeScript React", 0, 92, 0, 0, 0, 0, 0, 0, 0, 8, 100
