"filename", "language", "TypeScript", "JSON with Comments", "JSON", "TypeScript React", "HTML", "CSS", "Markdown", "JavaScript", "comment", "blank", "total"
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/monitor/package.json", "JSON", 0, 0, 29, 0, 0, 0, 0, 0, 0, 1, 30
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/monitor/src/env.d.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/monitor/src/index.ts", "TypeScript", 85, 0, 0, 0, 0, 0, 0, 0, 2, 6, 93
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/monitor/src/routes/status.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/monitor/src/utils/url.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/monitor/tsconfig.json", "JSON with Comments", 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website-api/package.json", "JSON", 0, 0, 45, 0, 0, 0, 0, 0, 0, 1, 46
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website-api/src/custom_typings.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website-api/src/env.d.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website-api/src/index.ts", "TypeScript", 74, 0, 0, 0, 0, 0, 0, 0, 7, 15, 96
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website-api/src/routes/api/auth.ts", "TypeScript", 83, 0, 0, 0, 0, 0, 0, 0, 5, 10, 98
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website-api/src/routes/api/noauth.ts", "TypeScript", 75, 0, 0, 0, 0, 0, 0, 0, 0, 5, 80
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website-api/src/routes/auth/index.ts", "TypeScript", 168, 0, 0, 0, 0, 0, 0, 0, 14, 9, 191
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website-api/src/routes/monitor/index.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website-api/src/routes/project/index.ts", "TypeScript", 142, 0, 0, 0, 0, 0, 0, 0, 5, 8, 155
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website-api/tsconfig.json", "JSON with Comments", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 40, 0, 0, 20, 60
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website/package.json", "JSON", 0, 0, 55, 0, 0, 0, 0, 0, 0, 1, 56
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website/public/index.html", "HTML", 0, 0, 0, 0, 18, 0, 0, 0, 25, 1, 44
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website/public/manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website/src/Components/ColorModeSwitcher.tsx", "TypeScript React", 0, 0, 0, 27, 0, 0, 0, 0, 0, 4, 31
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website/src/Components/Loading.tsx", "TypeScript React", 0, 0, 0, 23, 0, 0, 0, 0, 0, 3, 26
